"image","crop","mean_luma_err","rms_luma_err","grad_ratio","grad_err_rms","grad_corr","plane_res_ratio","lowfreq_res_ratio","lowfreq_err_rms","edge_luma_mae","edge_signed_luma_err","edge_grad_err_rms","edge_bright_frac","mean_green_opp_delta","green_opp_rmse","chroma_rmse","sat_ratio"
"bunker_PTCN_b0.35x_f149.ppm","doorway_slab","-0.00449","0.01991","0.9","0.03324","0.872","0.985","0.9885","0.00624","0.02233","-0.01358","0.07489","0.1728","0.00131","0.00477","0.00555","0.9652"
"bunker_PTCN_b0.35x_f149.ppm","green_wall","-0.01222","0.0252","0.6609","0.03611","0.5574","0.9663","1.0138","0.00732","0.02747","-0.02049","0.08166","0.1616","0.00125","0.00891","0.00828","0.9339"
"bunker_PTCO_b0.35x_f149.ppm","circle_wall","-0.00273","0.01829","0.9796","0.03311","0.9526","0.9932","0.9933","0.00379","0.01941","-0.01277","0.07742","0.2065","0.00279","0.00688","0.00665","0.9671"
"bunker_PTCO_b0.35x_f149.ppm","ceiling_wall","-0.00381","0.01671","0.971","0.02803","0.9498","0.9907","0.99","0.00461","0.02053","-0.01484","0.06215","0.1944","0.00204","0.00554","0.00573","0.9713"
"bunker_PTCO_b0.35x_f149.ppm","doorway_slab","-0.00446","0.01993","0.8995","0.03326","0.8718","0.9849","0.9884","0.00624","0.02242","-0.01344","0.0749","0.176","0.00125","0.00457","0.00531","0.9655"
"bunker_PTCO_b0.35x_f149.ppm","green_wall","-0.01203","0.02491","0.6559","0.03597","0.5608","0.9629","1.0123","0.00723","0.02739","-0.02032","0.08149","0.1692","0.00108","0.00846","0.00776","0.9001"
"bunker_PTCP_b0.35x_f149.ppm","circle_wall","-0.00273","0.01829","0.9796","0.03311","0.9526","0.9932","0.9933","0.00379","0.01941","-0.01277","0.07742","0.2065","0.00279","0.00688","0.00665","0.9671"
"bunker_PTCP_b0.35x_f149.ppm","ceiling_wall","-0.00381","0.01671","0.971","0.02803","0.9498","0.9907","0.99","0.00461","0.02053","-0.01484","0.06215","0.1944","0.00204","0.00554","0.00573","0.9713"
"bunker_PTCP_b0.35x_f149.ppm","doorway_slab","-0.00446","0.01993","0.8995","0.03326","0.8718","0.9849","0.9884","0.00624","0.02242","-0.01344","0.0749","0.176","0.00125","0.00457","0.00531","0.9655"
"bunker_PTCP_b0.35x_f149.ppm","green_wall","-0.01203","0.02491","0.6559","0.03597","0.5608","0.9629","1.0123","0.00723","0.02739","-0.02032","0.08149","0.1692","0.00108","0.00846","0.00776","0.9001"
